CustomerID,segment_name
12346.0,Growing Repeat
12347.0,Growing Repeat
12348.0,Low-Value / One-Time
12349.0,Growing Repeat
12351.0,Low-Value / One-Time
12352.0,Low-Value / One-Time
12353.0,Low-Value / One-Time
12355.0,At-Risk / Churned
12356.0,Growing Repeat
12357.0,High-Value Loyal
12358.0,Growing Repeat
12359.0,Growing Repeat
12360.0,Growing Repeat
12361.0,Low-Value / One-Time
12362.0,At-Risk / Churned
12366.0,Bulk / Wholesale
12368.0,At-Risk / Churned
12369.0,Growing Repeat
12370.0,At-Risk / Churned
12371.0,Growing Repeat
12373.0,At-Risk / Churned
12374.0,Growing Repeat
12376.0,Low-Value / One-Time
12377.0,Growing Repeat
12378.0,Growing Repeat
12379.0,Growing Repeat
12380.0,High-Value Loyal
12385.0,Growing Repeat
12386.0,Low-Value / One-Time
12387.0,Low-Value / One-Time
12388.0,Growing Repeat
12389.0,Growing Repeat
12391.0,Growing Repeat
12392.0,At-Risk / Churned
12393.0,Growing Repeat
12395.0,Growing Repeat
12396.0,At-Risk / Churned
12399.0,Growing Repeat
12400.0,Low-Value / One-Time
12402.0,Growing Repeat
12403.0,Bulk / Wholesale
12404.0,At-Risk / Churned
12406.0,Growing Repeat
12408.0,Growing Repeat
12409.0,High-Value Loyal
12410.0,Low-Value / One-Time
12411.0,Low-Value / One-Time
12412.0,Growing Repeat
12413.0,Low-Value / One-Time
12414.0,Bulk / Wholesale
12415.0,High-Value Loyal
12416.0,At-Risk / Churned
12417.0,High-Value Loyal
12418.0,Growing Repeat
12419.0,Low-Value / One-Time
12421.0,Low-Value / One-Time
12422.0,High-Value Loyal
12423.0,Growing Repeat
12424.0,Growing Repeat
12425.0,Growing Repeat
12426.0,At-Risk / Churned
12427.0,Low-Value / One-Time
12429.0,High-Value Loyal
12431.0,High-Value Loyal
12433.0,High-Value Loyal
12434.0,Low-Value / One-Time
12435.0,High-Value Loyal
12437.0,High-Value Loyal
12439.0,At-Risk / Churned
12440.0,Low-Value / One-Time
12441.0,Low-Value / One-Time
12443.0,At-Risk / Churned
12445.0,Low-Value / One-Time
12449.0,Bulk / Wholesale
12450.0,Low-Value / One-Time
12451.0,Growing Repeat
12454.0,High-Value Loyal
12455.0,Growing Repeat
12457.0,Low-Value / One-Time
12458.0,Growing Repeat
12459.0,At-Risk / Churned
12460.0,Low-Value / One-Time
12466.0,At-Risk / Churned
12467.0,Low-Value / One-Time
12468.0,Growing Repeat
12469.0,Growing Repeat
12470.0,At-Risk / Churned
12471.0,High-Value Loyal
12472.0,High-Value Loyal
12474.0,High-Value Loyal
12475.0,Low-Value / One-Time
12476.0,High-Value Loyal
12477.0,High-Value Loyal
12480.0,Growing Repeat
12481.0,High-Value Loyal
12482.0,High-Value Loyal
12483.0,High-Value Loyal
12484.0,Growing Repeat
12485.0,Low-Value / One-Time
12486.0,Growing Repeat
12487.0,Bulk / Wholesale
12490.0,High-Value Loyal
12492.0,Low-Value / One-Time
12494.0,Low-Value / One-Time
12495.0,At-Risk / Churned
12496.0,At-Risk / Churned
12497.0,High-Value Loyal
12499.0,At-Risk / Churned
12500.0,Growing Repeat
12503.0,Bulk / Wholesale
12504.0,Low-Value / One-Time
12505.0,Low-Value / One-Time
12507.0,At-Risk / Churned
12510.0,High-Value Loyal
12511.0,Growing Repeat
12514.0,At-Risk / Churned
12516.0,Growing Repeat
12519.0,Low-Value / One-Time
12523.0,High-Value Loyal
12524.0,High-Value Loyal
12525.0,Growing Repeat
12527.0,Low-Value / One-Time
12529.0,Low-Value / One-Time
12530.0,Growing Repeat
12531.0,Growing Repeat
12533.0,Growing Repeat
12537.0,Low-Value / One-Time
12538.0,Low-Value / One-Time
12539.0,High-Value Loyal
12540.0,High-Value Loyal
12542.0,Low-Value / One-Time
12543.0,Growing Repeat
12547.0,Low-Value / One-Time
12549.0,Growing Repeat
12553.0,Growing Repeat
12554.0,Low-Value / One-Time
12555.0,At-Risk / Churned
12557.0,High-Value Loyal
12562.0,Growing Repeat
12563.0,Low-Value / One-Time
12567.0,High-Value Loyal
12568.0,At-Risk / Churned
12570.0,At-Risk / Churned
12573.0,Growing Repeat
12575.0,Low-Value / One-Time
12576.0,Growing Repeat
12577.0,Growing Repeat
12578.0,Growing Repeat
12580.0,At-Risk / Churned
12582.0,Growing Repeat
12583.0,High-Value Loyal
12586.0,Growing Repeat
12588.0,Growing Repeat
12589.0,High-Value Loyal
12591.0,Growing Repeat
12592.0,Growing Repeat
12594.0,Growing Repeat
12595.0,Low-Value / One-Time
12598.0,Growing Repeat
12599.0,Growing Repeat
12600.0,High-Value Loyal
12601.0,Low-Value / One-Time
12605.0,Growing Repeat
12606.0,At-Risk / Churned
12608.0,Low-Value / One-Time
12609.0,Growing Repeat
12613.0,High-Value Loyal
12615.0,Growing Repeat
12616.0,Low-Value / One-Time
12619.0,At-Risk / Churned
12621.0,High-Value Loyal
12623.0,High-Value Loyal
12625.0,Growing Repeat
12629.0,Growing Repeat
12631.0,Growing Repeat
12632.0,Growing Repeat
12633.0,Growing Repeat
12634.0,Bulk / Wholesale
12635.0,Growing Repeat
12636.0,At-Risk / Churned
12637.0,Growing Repeat
12638.0,At-Risk / Churned
12639.0,Growing Repeat
12643.0,High-Value Loyal
12644.0,Growing Repeat
12645.0,Growing Repeat
12647.0,High-Value Loyal
12648.0,Growing Repeat
12649.0,Growing Repeat
12651.0,Low-Value / One-Time
12652.0,Low-Value / One-Time
12653.0,Growing Repeat
12655.0,Low-Value / One-Time
12656.0,Growing Repeat
12661.0,Bulk / Wholesale
12662.0,High-Value Loyal
12663.0,At-Risk / Churned
12664.0,Bulk / Wholesale
12665.0,Low-Value / One-Time
