StockCode,segment_name,revenue,units,orders,customers,revenue_share,unit_share
10002,At-Risk / Churned,62.05,73,7,7,0.01023594640026262,0.009357774644276375
10002,Growing Repeat,1215.9499999999998,1507,95,64,0.20058660798387318,0.1931803614921164
10002,High-Value Loyal,4317.17,5603,134,60,0.7121727755168699,0.718241251121651
10002,Low-Value / One-Time,466.8,618,22,22,0.07700467009899423,0.07922061274195616
10080,At-Risk / Churned,0.85,1,1,1,0.08333333333333334,0.08333333333333333
10080,Growing Repeat,2.55,3,1,1,0.25,0.25
10080,High-Value Loyal,6.799999999999999,8,3,2,0.6666666666666666,0.6666666666666666
10109,High-Value Loyal,1.68,4,1,1,1.0,1.0
10120,At-Risk / Churned,0.42,2,1,1,0.004246284501061571,0.004246284501061571
10120,Growing Repeat,49.769999999999996,237,16,15,0.5031847133757962,0.5031847133757962
10120,High-Value Loyal,33.6,160,11,9,0.3397027600849257,0.33970276008492567
10120,Low-Value / One-Time,15.12,72,8,8,0.15286624203821655,0.15286624203821655
10123C,Growing Repeat,57.2,88,20,19,0.2529742160895139,0.14035087719298245
10123C,High-Value Loyal,165.01000000000002,533,19,13,0.7297775419043828,0.8500797448165869
10123C,Low-Value / One-Time,3.9000000000000004,6,5,5,0.017248242006103226,0.009569377990430622
10123G,Growing Repeat,11.05,17,5,5,0.07030156508461637,0.007569011576135352
10123G,High-Value Loyal,145.48,2228,6,6,0.9255630487339355,0.9919857524487978
10123G,Low-Value / One-Time,0.65,1,1,1,0.004135386181448021,0.0004452359750667854
10124A,Growing Repeat,6.3,15,6,6,0.32608695652173914,0.32608695652173914
10124A,High-Value Loyal,9.24,22,7,7,0.4782608695652174,0.4782608695652174
10124A,Low-Value / One-Time,3.78,9,1,1,0.19565217391304346,0.1956521739130435
10124G,Growing Repeat,5.04,12,4,4,0.6,0.6
10124G,High-Value Loyal,3.3600000000000003,8,2,2,0.4,0.4
10125,At-Risk / Churned,0.85,1,1,1,0.0012658227848101266,0.0012658227848101266
10125,Growing Repeat,243.95,287,30,27,0.3632911392405063,0.3632911392405063
10125,High-Value Loyal,404.6,476,27,17,0.6025316455696202,0.6025316455696202
10125,Low-Value / One-Time,22.1,26,5,5,0.03291139240506329,0.03291139240506329
10133,At-Risk / Churned,25.5,30,3,2,0.031880977683315624,0.031023784901758014
10133,Growing Repeat,289.0,340,41,35,0.361317747077577,0.3516028955532575
10133,High-Value Loyal,321.3,404,27,18,0.40170031880977686,0.41778697001034126
10133,Low-Value / One-Time,164.05,193,17,13,0.20510095642933052,0.19958634953464321
10134,At-Risk / Churned,50.0,40,6,6,0.07094211123723042,0.06514657980456026
10134,Bulk / Wholesale,156.55,145,2,1,0.22211975028376849,0.23615635179153094
